"loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","pymnt_plan","url","desc","purpose","title","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","mths_since_last_major_derog","policy_code","is_bad"
20000,20000,"36 months","18.67%",729.79,"F","F2","Enersys Inc","3 years","RENT",128000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=567525","Borrower added on 08/26/10 > This loan will pay off ALL credit card debt for myself and my husband. It will also pay off an IRS debt of $1800. I have medical bills including an Anesthesia bill that is nearly $3000. This loan will pay that off too. If we keep paying minimum payments, our loans will take FOREVER to pay off. By consolidating, the loans will be paid off immediately and the Debt Consolidation Loan from Lending Club will be paid off in 3 years of less. Our goal is to pay this loan off in less than 2 years. The Debt Consolidation payment is LESS than our current minimum monthly payments. We will cancel nearly all of our credit cards once paid off with this loan. I will leave 1 card open since I need to use it for traveling expenses with my job. I get reimburesed for all travel and job-related expenses. I have worked in the same industry for over 20 years and I have a very stable job. I sell back up power solutions to data centers, telecom providers, and utility customers. <br/>Thank you Lending Club investors!<br/>","debt_consolidation","Debt Consolidation Loan","770xx",3.06,2,"1/1/99",5,5,NA,6,0,9337,61.8,38,FALSE,NA,8622,0
10000,10000,"36 months","20.99%",376.7,"F","F3","Albemarle Hospital","2 years","MORTGAGE",120000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=824910",NA,"credit_card","Credit Refinance Loan","279xx",22.36,0,"11/1/01",0,41,NA,39,0,5392,67.5,51,FALSE,NA,5457,0
2500,2500,"36 months","12.53%",83.67,"C","C1","The UPS Store","7 years","RENT",20000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=409986","I am currently seeking to take summer classes at my current college, San Diego City College.  I have just moved to San Diego from Hawaii and didn't intend to go to school until the Fall Semester of 2009.  But since I have got here and have everything settled, I got a part-time job, furnished my apartment and got a car for transportation.  Now I would like to enroll in classes as soon as possible to begin my education, but I do not qualify for any financial aid for this Summer Session.  Please consider this loan, as I am working towards bettering my carrer and becoming the best I can be.  I worked at my current job for the last 7 and a half years, and have held several small loans such as this, and have always paid on time.","educational","Student Loan","919xx",1.62,0,"8/1/04",2,29,NA,3,0,1371,21.4,13,FALSE,NA,594,0
12000,12000,"60 months","16.49%",294.96,"D","D3","route relievers/bimbo bakeries","4 years","RENT",55000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=786427",NA,"small_business","business","852xx",23.83,1,"5/1/00",0,12,NA,4,0,114,2,32,FALSE,NA,6619,0
18225,18225,"60 months","18.79%",470.67,"E","E3","Avnet","10+ years","MORTGAGE",68000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=806426","Borrower added on 07/11/11 > I am asking for your investment for me to become debt free. I have a steady job and need your help.<br/> Borrower added on 07/13/11 > Thank you to everyone that has invested in my future.   For those of you still out there, please help me become credit card free! You investment will benefit both of us.<br/> Borrower added on 07/15/11 > Another big thank you to everyone that has invested in my loan since 7/13.  For everyone still out there, please help me become credit card free!!  I only have 4 days left!!  Your investment will be rewarded!!<br/> Borrower added on 07/16/11 > Thank you to everyone that invested yesterday!  Please help me become credit card free, I only have three days left to get my loan fully funded. You will be rewarded!<br/> Borrower added on 07/17/11 > Thank you to all the lenders. I need some more help to get my loan fully funded.  Your investment will be rewarded.<br/> Borrower added on 07/17/11 > Please help, I only have two more days to get fully funded!   <br/>Thank you to those who have invested in my credit card free lifestyle.<br/> Borrower added on 07/18/11 > Thanks to all the investors.  Please help me get to 100% funded.  I only have one more day.   Please help me achieve my goal of a credit card free lifestyle!!<br/> Borrower added on 07/19/11 > Thank you to all that gave invested, I only have a few more hours to become credit card free!  Please consider me in your portfolio.<br/>","credit_card","Credit Card Loan","851xx",21.99,0,"5/1/92",2,32,NA,10,0,21895,94.4,37,FALSE,NA,8312,0
15000,15000,"60 months","17.58%",377.49,"D","D4","Exova Inc.","6 years","MORTGAGE",78000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=877615","Borrower added on 09/12/11 > I plan to use the loan to pay off credit card accounts. I'm currently in very good standing with my creditors. I have not missed any payments, and tend to pay more then the minimal. My credit rating is nearly excellent, and my goal is to make it excellent in the end.<br/><br/>I have been employed for 6 years working in the engineering field. My company has been profitable every sngle month since I've been here. <br/><br/>Overall I'm trying to save time and lower my montly payments with this loan. I feel I can easily make these payments.<br/>","debt_consolidation","Consolidation Loan","601xx",13.51,0,"10/1/97",3,43,NA,19,0,12546,27.1,30,FALSE,NA,7695,1
10000,10000,"36 months","7.51%",311.11,"A","A4","ford motor co","10+ years","MORTGAGE",50000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=562203",NA,"debt_consolidation","debbtloan","400xx",9.12,0,"2/1/94",0,NA,NA,9,0,11451,47.9,30,FALSE,NA,5568,0
4500,4500,"36 months","10.38%",146.01,"B","B1","Integratechs","2 years","RENT",18000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=571208",NA,"debt_consolidation","Pay off Target Visa","840xx",9.2,0,"10/1/01",0,25,NA,4,0,4801,48.4,7,FALSE,NA,1747,0
12000,12000,"36 months","14.54%",413.29,"D","D1","KMG TRUCKING INC","1 year","OWN",48000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=733044",NA,"home_improvement","HOME IMPROVEMNET","125xx",7.3,2,"12/1/95",3,7,86,25,1,6774,15.1,41,FALSE,NA,6306,0
14500,14500,"36 months","11.26%",476.52,"B","B2","NE Carpenters Fund","7 years","RENT",80004,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=403934","I would like to pay off my current credit card balance with Citibank with this loan.  As of today I owe $14, 397.74; but I am sure that will go up somewhat with the interest for this month as soon as it hits the account - I am not sure what date that will be.  But; I would like the loan from you for the $14, 500; and then I will simply pay the interest balance above that amount.","debt_consolidation","CreditCardPayoff","014xx",10.18,0,"3/1/96",0,25,NA,16,0,25807,48.1,38,FALSE,NA,7214,0
